"Sample_Size","Requested_Contamination","Realized_Contamination","Monte_Carlo_Repetitions","Bootstrap_Repetitions","Coverage_Mean","Coverage_Median","Average_Width_Mean","Average_Width_Median"
30,0,0,300,500,0.92,0.926666666666667,1.37037587507257,1.71891062519605
30,0.1,0.1,300,500,0.68,0.9,2.70894265802136,1.96589613579813
30,0.2,0.2,300,500,0.0833333333333333,0.81,3.42056302977343,2.31818370120024
100,0,0,300,500,0.93,0.933333333333333,0.771147293314002,0.972909402183254
100,0.1,0.1,300,500,0.0233333333333333,0.833333333333333,1.48667098727712,1.0881169928575
100,0.2,0.2,300,500,0,0.426666666666667,1.88197170907639,1.28520860592199
