"Scenario","Relative_Efficiency","Mean_Variance","Median_Variance","Mean_Squared_Error_to_Target","Median_Squared_Error_to_Target"
"Clean",2.26938977508504,0.122840313834348,0.278772552183907,0.00887505532921583,0.021746375474641
"Contaminated",0.80073932880556,0.494590089448387,0.396037736258783,2.44448851700754,1.42804946905877
